Probability Power PlanetMass Frequency Period RVamplitude
0.0 0.0 0.0 0.08 12.9 0.0
0.0 0.0 0.0 0.09 11.61 0.87
0.0 0.0 0.0 0.09 10.56 1.75
0.0 0.0 0.0 0.1 9.69 2.62
0.0 0.0 0.0 0.11 8.95 3.5
0.0 0.0 0.0 0.12 8.31 4.37
0.0 0.0 0.0 0.13 7.76 5.25
0.0 0.0 0.0 0.14 7.28 6.12
0.0 0.0 0.0 0.15 6.85 7.0
0.0 0.0 0.0 0.15 6.47 7.87
0.0 0.0 0.0 0.16 6.13 8.75
0.0 0.0 0.0 0.17 5.83 9.62
0.0 0.0 0.0 0.18 5.55 10.49
0.0 0.0 0.0 0.19 5.3 11.37
0.0 0.0 0.0 0.2 5.07 12.24
0.0 0.0 0.0 0.21 4.86 13.12
0.0 0.0 0.0 0.21 4.66 13.99
0.0 0.0 0.0 0.22 4.48 14.87
0.0 0.0 0.0 0.23 4.32 15.74
0.0 0.0 0.0 0.24 4.16 16.62
0.0 0.0 0.0 0.25 4.02 17.49
0.0 0.0 0.0 0.26 3.89 18.36
0.0 0.0 0.0 0.27 3.76 19.24
0.0 0.0 0.0 0.27 3.65 20.11
0.0 0.0 0.0 0.28 3.53 20.99
0.0 0.0 0.0 0.29 3.43 21.86
0.0 0.0 0.0 0.3 3.33 22.74
0.0 0.0 0.0 0.31 3.24 23.61
0.0 0.0 0.0 0.32 3.15 24.48
0.0 0.0 0.0 0.33 3.07 25.36
0.0 0.0 0.0 0.33 2.99 26.23
0.0 0.0 0.0 0.34 2.92 27.11
0.0 0.0 0.0 0.35 2.85 27.98
0.0 0.0 0.0 0.36 2.78 28.86
0.0 0.0 0.0 0.37 2.71 29.73
0.0 0.0 0.0 0.38 2.65 30.6
0.0 0.0 0.0 0.39 2.59 31.48
0.0 0.0 0.0 0.39 2.54 32.35
0.0 0.0 0.0 0.4 2.48 33.23
0.0 0.0 0.0 0.41 2.43 34.1
0.0 0.0 0.0 0.42 2.38 34.98
0.0 0.0 0.0 0.43 2.33 35.85
0.0 0.0 0.0 0.44 2.29 36.72
0.0 0.0 0.0 0.45 2.24 37.6
0.0 0.0 0.0 0.45 2.2 38.47
0.0 0.0 0.0 0.46 2.16 39.35
0.0 0.0 0.0 0.47 2.12 40.22
0.0 0.0 0.0 0.48 2.08 41.09
0.0 0.0 0.0 0.49 2.05 41.97
0.0 0.0 0.0 0.5 2.01 42.84
0.0 0.0 0.0 0.51 1.98 43.72
0.0 0.0 0.0 0.51 1.95 44.59
0.0 0.0 0.0 0.52 1.91 45.46
0.0 0.0 0.0 0.53 1.88 46.34
0.0 0.0 0.0 0.54 1.85 47.21
0.0 0.0 0.0 0.55 1.82 48.09
0.0 0.0 0.0 0.56 1.8 48.96
0.0 0.0 0.0 0.57 1.77 49.83
0.0 0.0 0.0 0.57 1.74 50.71
0.0 0.0 0.0 0.58 1.72 51.58
0.0 0.0 0.0 0.59 1.69 52.46
