Probability Power PlanetMass Frequency Period RVamplitude
0.0 0.0 0.0 0.08 12.9 0.0
0.0 0.0 0.0 0.09 10.55 1.77
0.0 0.0 0.0 0.11 8.92 3.53
0.0 0.0 0.0 0.13 7.73 5.3
0.0 0.0 0.0 0.15 6.82 7.07
0.0 0.0 0.0 0.16 6.1 8.83
0.0 0.0 0.0 0.18 5.52 10.6
0.0 0.0 0.0 0.2 5.04 12.37
0.0 0.0 0.0 0.22 4.63 14.13
0.0 0.0 0.0 0.23 4.29 15.9
0.0 0.0 0.0 0.25 3.99 17.67
0.0 0.0 0.0 0.27 3.74 19.43
0.0 0.0 0.0 0.28 3.51 21.2
0.0 0.0 0.0 0.3 3.31 22.97
0.0 0.0 0.0 0.32 3.13 24.73
0.0 0.0 0.0 0.34 2.97 26.5
0.0 0.0 0.0 0.35 2.82 28.27
0.0 0.0 0.0 0.37 2.69 30.03
0.0 0.0 0.0 0.39 2.57 31.8
0.0 0.0 0.0 0.41 2.46 33.57
0.0 0.0 0.0 0.42 2.36 35.33
0.0 0.0 0.0 0.44 2.27 37.1
0.0 0.0 0.0 0.46 2.18 38.86
0.0 0.0 0.0 0.48 2.1 40.63
0.0 0.0 0.0 0.49 2.03 42.4
0.0 0.0 0.0 0.51 1.96 44.16
0.0 0.0 0.0 0.53 1.9 45.93
0.0 0.0 0.0 0.54 1.84 47.69
0.0 0.0 0.0 0.56 1.78 49.46
0.0 0.0 0.0 0.58 1.73 51.23
0.0 0.0 0.0 0.6 1.68 52.99
0.0 0.0 0.0 0.61 1.63 54.76
0.0 0.0 0.0 0.63 1.59 56.52
0.0 0.0 0.0 0.65 1.54 58.29
0.0 0.0 0.0 0.67 1.5 60.05
0.0 0.0 0.0 0.68 1.47 61.82
0.0 0.0 0.0 0.7 1.43 63.58
0.0 0.0 0.0 0.72 1.39 65.35
0.0 0.0 0.0 0.73 1.36 67.11
0.0 0.0 0.0 0.75 1.33 68.88
0.0 0.0 0.0 0.77 1.3 70.65
0.0 0.0 0.0 0.79 1.27 72.41
0.0 0.0 0.0 0.8 1.24 74.18
0.0 0.0 0.0 0.82 1.22 75.94
0.0 0.0 0.0 0.84 1.19 77.71
0.0 0.0 0.0 0.86 1.17 79.47
0.0 0.0 0.0 0.87 1.15 81.24
0.0 0.0 0.0 0.89 1.12 83.0
0.0 0.0 0.0 0.91 1.1 84.77
0.0 0.0 0.0 0.92 1.08 86.53
0.0 0.04 0.02 0.08 12.9 0.0
0.0 0.04 0.02 0.09 10.55 1.89
0.0 0.04 0.02 0.11 8.92 3.78
0.0 0.03 0.02 0.13 7.73 5.67
0.0 0.07 0.02 0.15 6.82 7.56
0.0 0.08 0.02 0.16 6.1 9.45
0.0 0.05 0.02 0.18 5.52 11.34
0.0 0.04 0.02 0.2 5.04 13.23
0.0 0.06 0.02 0.22 4.63 15.12
0.0 0.09 0.02 0.23 4.29 17.0
0.0 0.07 0.02 0.25 3.99 18.89
0.0 0.05 0.02 0.27 3.74 20.78
0.0 0.07 0.02 0.28 3.51 22.67
0.0 0.08 0.02 0.3 3.31 24.56
0.0 0.08 0.02 0.32 3.13 26.45
0.0 0.05 0.02 0.34 2.97 28.34
0.0 0.05 0.02 0.35 2.82 30.23
0.0 0.08 0.02 0.37 2.69 32.12
0.0 0.09 0.02 0.39 2.57 34.01
0.0 0.1 0.02 0.41 2.46 35.89
0.0 0.11 0.02 0.42 2.36 37.78
0.0 0.1 0.02 0.44 2.27 39.67
0.0 0.09 0.02 0.46 2.18 41.56
0.0 0.06 0.02 0.48 2.1 43.45
0.0 0.06 0.02 0.49 2.03 45.34
0.0 0.06 0.02 0.51 1.96 47.23
0.0 0.07 0.02 0.53 1.9 49.11
0.0 0.1 0.02 0.54 1.84 51.0
0.0 0.1 0.02 0.56 1.78 52.89
0.0 0.12 0.02 0.58 1.73 54.78
0.0 0.12 0.02 0.6 1.68 56.67
0.0 0.1 0.02 0.61 1.63 58.56
0.0 0.08 0.02 0.63 1.59 60.44
0.0 0.05 0.02 0.65 1.54 62.33
0.0 0.08 0.02 0.67 1.5 64.22
0.0 0.1 0.02 0.68 1.47 66.11
0.0 0.11 0.02 0.7 1.43 68.0
0.0 0.1 0.02 0.72 1.39 69.88
0.0 0.08 0.02 0.73 1.36 71.77
0.0 0.12 0.02 0.75 1.33 73.66
0.0 0.14 0.02 0.77 1.3 75.55
