Probability Power PlanetMass Frequency Period RVamplitude
0.0 0.11 0.02 0.79 1.27 77.43
0.0 0.08 0.02 0.8 1.24 79.32
0.0 0.1 0.02 0.82 1.22 81.21
0.0 0.14 0.02 0.84 1.19 83.1
0.0 0.13 0.02 0.86 1.17 84.99
0.0 0.07 0.02 0.87 1.15 86.87
0.0 0.08 0.02 0.89 1.12 88.76
0.0 0.11 0.02 0.91 1.1 90.65
0.0 0.12 0.02 0.92 1.08 92.53
0.0 0.09 0.04 0.08 12.9 0.0
0.0 0.1 0.04 0.09 10.55 2.0
0.0 0.09 0.04 0.11 8.92 4.0
0.0 0.09 0.04 0.13 7.73 5.99
0.0 0.15 0.04 0.15 6.82 7.99
0.0 0.15 0.04 0.16 6.1 9.99
0.0 0.1 0.04 0.18 5.52 11.99
0.0 0.06 0.04 0.2 5.04 13.99
0.0 0.11 0.04 0.22 4.63 15.98
0.0 0.17 0.04 0.23 4.29 17.98
0.0 0.16 0.04 0.25 3.99 19.98
0.0 0.12 0.04 0.27 3.74 21.98
0.0 0.16 0.04 0.28 3.51 23.97
0.0 0.18 0.04 0.3 3.31 25.97
0.0 0.17 0.04 0.32 3.13 27.97
0.0 0.13 0.04 0.34 2.97 29.97
0.0 0.12 0.04 0.35 2.82 31.96
0.0 0.17 0.04 0.37 2.69 33.96
0.0 0.19 0.04 0.39 2.57 35.96
0.0 0.21 0.04 0.41 2.46 37.96
0.0 0.22 0.04 0.42 2.36 39.95
0.0 0.21 0.04 0.44 2.27 41.95
0.0 0.19 0.04 0.46 2.18 43.95
0.0 0.16 0.04 0.48 2.1 45.94
0.0 0.17 0.04 0.49 2.03 47.94
0.0 0.18 0.04 0.51 1.96 49.94
0.0 0.18 0.04 0.53 1.9 51.93
0.0 0.21 0.04 0.54 1.84 53.93
0.0 0.21 0.04 0.56 1.78 55.93
0.0 0.23 0.04 0.58 1.73 57.92
0.0 0.23 0.04 0.6 1.68 59.92
0.0 0.21 0.04 0.61 1.63 61.92
0.0 0.18 0.04 0.63 1.59 63.91
0.0 0.14 0.04 0.65 1.54 65.91
0.0 0.2 0.04 0.67 1.5 67.91
0.0 0.23 0.04 0.68 1.47 69.9
0.0 0.24 0.04 0.7 1.43 71.9
0.0 0.22 0.04 0.72 1.39 73.9
0.0 0.2 0.04 0.73 1.36 75.89
0.0 0.25 0.04 0.75 1.33 77.89
0.0 0.25 0.04 0.77 1.3 79.88
0.0 0.18 0.04 0.79 1.27 81.88
0.0 0.13 0.04 0.8 1.24 83.88
0.0 0.17 0.04 0.82 1.22 85.87
0.0 0.24 0.04 0.84 1.19 87.87
0.0 0.27 0.04 0.86 1.17 89.86
0.0 0.19 0.04 0.87 1.15 91.86
0.0 0.2 0.04 0.89 1.12 93.86
0.0 0.25 0.04 0.91 1.1 95.85
0.0 0.27 0.04 0.92 1.08 97.85
0.0 0.15 0.06 0.08 12.9 0.0
0.0 0.16 0.06 0.09 10.55 2.1
0.0 0.15 0.06 0.11 8.92 4.19
0.0 0.15 0.06 0.13 7.73 6.29
0.0 0.23 0.06 0.15 6.82 8.38
0.0 0.22 0.06 0.16 6.1 10.48
0.0 0.14 0.06 0.18 5.52 12.57
0.0 0.08 0.06 0.2 5.04 14.67
0.0 0.15 0.06 0.22 4.63 16.77
0.0 0.23 0.06 0.23 4.29 18.86
0.0 0.24 0.06 0.25 3.99 20.96
0.0 0.2 0.06 0.27 3.74 23.05
0.0 0.25 0.06 0.28 3.51 25.15
0.0 0.28 0.06 0.3 3.31 27.24
0.0 0.27 0.06 0.32 3.13 29.34
0.0 0.22 0.06 0.34 2.97 31.43
0.0 0.21 0.06 0.35 2.82 33.53
0.0 0.27 0.06 0.37 2.69 35.62
0.0 0.29 0.06 0.39 2.57 37.72
0.0 0.3 0.06 0.41 2.46 39.81
0.0 0.32 0.06 0.42 2.36 41.91
0.0 0.31 0.06 0.44 2.27 44.0
0.0 0.3 0.06 0.46 2.18 46.1
0.0 0.28 0.06 0.48 2.1 48.19
0.0 0.3 0.06 0.49 2.03 50.29
0.0 0.32 0.06 0.51 1.96 52.38
0.0 0.3 0.06 0.53 1.9 54.48
0.0 0.32 0.06 0.54 1.84 56.57
0.0 0.31 0.06 0.56 1.78 58.67
0.0 0.33 0.06 0.58 1.73 60.76
0.0 0.34 0.06 0.6 1.68 62.85
0.0 0.31 0.06 0.61 1.63 64.95
0.0 0.3 0.06 0.63 1.59 67.04
0.0 0.26 0.06 0.65 1.54 69.14
0.0 0.33 0.06 0.67 1.5 71.23
0.0 0.35 0.06 0.68 1.47 73.33
0.0 0.36 0.06 0.7 1.43 75.42
0.0 0.34 0.06 0.72 1.39 77.51
0.0 0.32 0.06 0.73 1.36 79.61
0.0 0.36 0.06 0.75 1.33 81.7
0.0 0.34 0.06 0.77 1.3 83.8
0.0 0.24 0.06 0.79 1.27 85.89
0.0 0.16 0.06 0.8 1.24 87.98
0.0 0.22 0.06 0.82 1.22 90.08
0.0 0.33 0.06 0.84 1.19 92.17
0.0 0.39 0.06 0.86 1.17 94.26
0.0 0.32 0.06 0.87 1.15 96.36
0.0 0.33 0.06 0.89 1.12 98.45
0.0 0.38 0.06 0.91 1.1 100.54
0.0 0.4 0.06 0.92 1.08 102.64
0.0 0.2 0.08 0.08 12.9 0.0
0.0 0.22 0.08 0.09 10.55 2.19
0.0 0.21 0.08 0.11 8.92 4.37
0.0 0.22 0.08 0.13 7.73 6.56
0.0 0.31 0.08 0.15 6.82 8.74
0.0 0.27 0.08 0.16 6.1 10.93
0.0 0.17 0.08 0.18 5.52 13.11
0.0 0.1 0.08 0.2 5.04 15.3
0.0 0.18 0.08 0.22 4.63 17.48
0.0 0.29 0.08 0.23 4.29 19.67
0.0 0.32 0.08 0.25 3.99 21.85
0.0 0.29 0.08 0.27 3.74 24.04
0.0 0.34 0.08 0.28 3.51 26.22
0.0 0.37 0.08 0.3 3.31 28.41
0.0 0.37 0.08 0.32 3.13 30.59
0.0 0.32 0.08 0.34 2.97 32.78
0.0 0.3 0.08 0.35 2.82 34.96
0.0 0.36 0.08 0.37 2.69 37.14
0.0 0.37 0.08 0.39 2.57 39.33
0.0 0.39 0.08 0.41 2.46 41.51
0.0 0.41 0.08 0.42 2.36 43.7
0.0 0.41 0.08 0.44 2.27 45.88
0.0 0.4 0.08 0.46 2.18 48.07
0.0 0.39 0.08 0.48 2.1 50.25
0.0 0.43 0.08 0.49 2.03 52.43
0.0 0.45 0.08 0.51 1.96 54.62
0.0 0.41 0.08 0.53 1.9 56.8
0.0 0.42 0.08 0.54 1.84 58.99
0.0 0.39 0.08 0.56 1.78 61.17
0.0 0.41 0.08 0.58 1.73 63.35
0.0 0.43 0.08 0.6 1.68 65.54
0.0 0.4 0.08 0.61 1.63 67.72
0.0 0.42 0.08 0.63 1.59 69.9
0.0 0.38 0.08 0.65 1.54 72.09
0.0 0.44 0.08 0.67 1.5 74.27
0.0 0.46 0.08 0.68 1.47 76.46
0.0 0.47 0.08 0.7 1.43 78.64
0.0 0.45 0.08 0.72 1.39 80.82
0.0 0.43 0.08 0.73 1.36 83.01
0.0 0.46 0.08 0.75 1.33 85.19
0.0 0.4 0.08 0.77 1.3 87.37
0.0 0.28 0.08 0.79 1.27 89.56
0.0 0.19 0.08 0.8 1.24 91.74
0.0 0.26 0.08 0.82 1.22 93.92
0.0 0.39 0.08 0.84 1.19 96.1
0.0 0.49 0.08 0.86 1.17 98.29
0.0 0.45 0.08 0.87 1.15 100.47
0.0 0.45 0.08 0.89 1.12 102.65
0.0 0.49 0.08 0.91 1.1 104.84
0.0 0.51 0.08 0.92 1.08 107.02
0.0 0.26 0.1 0.08 12.9 0.0
0.0 0.29 0.1 0.09 10.55 2.27
0.0 0.28 0.1 0.11 8.92 4.54
0.0 0.3 0.1 0.13 7.73 6.8
0.0 0.38 0.1 0.15 6.82 9.07
0.0 0.32 0.1 0.16 6.1 11.34
0.0 0.19 0.1 0.18 5.52 13.61
0.0 0.11 0.1 0.2 5.04 15.88
0.0 0.21 0.1 0.22 4.63 18.14
0.0 0.34 0.1 0.23 4.29 20.41
0.0 0.39 0.1 0.25 3.99 22.68
0.0 0.37 0.1 0.27 3.74 24.95
0.0 0.42 0.1 0.28 3.51 27.21
0.0 0.45 0.1 0.3 3.31 29.48
0.0 0.45 0.1 0.32 3.13 31.75
0.0 0.41 0.1 0.34 2.97 34.02
0.0 0.39 0.1 0.35 2.82 36.28
0.0 0.44 0.1 0.37 2.69 38.55
0.0 0.44 0.1 0.39 2.57 40.82
0.0 0.46 0.1 0.41 2.46 43.08
0.0 0.48 0.1 0.42 2.36 45.35
0.0 0.48 0.1 0.44 2.27 47.62
0.0 0.49 0.1 0.46 2.18 49.88
0.0 0.49 0.1 0.48 2.1 52.15
0.0 0.54 0.1 0.49 2.03 54.42
0.0 0.56 0.1 0.51 1.96 56.68
0.0 0.51 0.1 0.53 1.9 58.95
0.0 0.5 0.1 0.54 1.84 61.22
0.0 0.47 0.1 0.56 1.78 63.48
0.0 0.48 0.1 0.58 1.73 65.75
0.0 0.5 0.1 0.6 1.68 68.02
0.0 0.48 0.1 0.61 1.63 70.28
0.0 0.51 0.1 0.63 1.59 72.55
0.0 0.49 0.1 0.65 1.54 74.82
0.0 0.53 0.1 0.67 1.5 77.08
0.0 0.54 0.1 0.68 1.47 79.35
0.0 0.55 0.1 0.7 1.43 81.61
0.0 0.54 0.1 0.72 1.39 83.88
0.0 0.53 0.1 0.73 1.36 86.15
0.0 0.54 0.1 0.75 1.33 88.41
0.0 0.46 0.1 0.77 1.3 90.68
0.0 0.32 0.1 0.79 1.27 92.94
0.0 0.21 0.1 0.8 1.24 95.21
0.0 0.28 0.1 0.82 1.22 97.47
0.0 0.44 0.1 0.84 1.19 99.74
0.0 0.56 0.1 0.86 1.17 102.01
0.0 0.55 0.1 0.87 1.15 104.27
0.0 0.54 0.1 0.89 1.12 106.54
0.0 0.57 0.1 0.91 1.1 108.8
0.0 0.59 0.1 0.92 1.08 111.07
0.0 0.32 0.12 0.08 12.9 0.0
0.0 0.35 0.12 0.09 10.55 2.35
0.0 0.34 0.12 0.11 8.92 4.69
0.0 0.37 0.12 0.13 7.73 7.04
0.0 0.44 0.12 0.15 6.82 9.38
0.0 0.36 0.12 0.16 6.1 11.73
0.0 0.21 0.12 0.18 5.52 14.07
0.0 0.13 0.12 0.2 5.04 16.41
0.0 0.23 0.12 0.22 4.63 18.76
0.0 0.38 0.12 0.23 4.29 21.1
0.0 0.46 0.12 0.25 3.99 23.45
0.0 0.45 0.12 0.27 3.74 25.79
0.0 0.49 0.12 0.28 3.51 28.14
0.0 0.51 0.12 0.3 3.31 30.48
0.0 0.52 0.12 0.32 3.13 32.83
0.0 0.49 0.12 0.34 2.97 35.17
0.0 0.47 0.12 0.35 2.82 37.52
0.0 0.51 0.12 0.37 2.69 39.86
0.0 0.5 0.12 0.39 2.57 42.2
0.0 0.51 0.12 0.41 2.46 44.55
0.0 0.54 0.12 0.42 2.36 46.89
0.0 0.55 0.12 0.44 2.27 49.24
0.0 0.56 0.12 0.46 2.18 51.58
0.0 0.57 0.12 0.48 2.1 53.92
0.0 0.62 0.12 0.49 2.03 56.27
0.0 0.64 0.12 0.51 1.96 58.61
0.0 0.59 0.12 0.53 1.9 60.95
0.0 0.57 0.12 0.54 1.84 63.3
0.0 0.52 0.12 0.56 1.78 65.64
0.0 0.54 0.12 0.58 1.73 67.98
0.0 0.55 0.12 0.6 1.68 70.33
0.0 0.54 0.12 0.61 1.63 72.67
0.0 0.59 0.12 0.63 1.59 75.01
0.0 0.58 0.12 0.65 1.54 77.36
0.0 0.61 0.12 0.67 1.5 79.7
0.0 0.62 0.12 0.68 1.47 82.04
0.0 0.62 0.12 0.7 1.43 84.39
0.0 0.61 0.12 0.72 1.39 86.73
0.0 0.6 0.12 0.73 1.36 89.07
0.0 0.6 0.12 0.75 1.33 91.42
0.0 0.5 0.12 0.77 1.3 93.76
0.0 0.34 0.12 0.79 1.27 96.1
0.0 0.23 0.12 0.8 1.24 98.44
0.0 0.3 0.12 0.82 1.22 100.79
0.0 0.48 0.12 0.84 1.19 103.13
0.0 0.62 0.12 0.86 1.17 105.47
0.0 0.63 0.12 0.87 1.15 107.81
0.0 0.62 0.12 0.89 1.12 110.16
0.0 0.64 0.12 0.91 1.1 112.5
0.0 0.66 0.12 0.92 1.08 114.84
0.0 0.37 0.14 0.08 12.9 0.0
0.0 0.41 0.14 0.09 10.55 2.42
0.0 0.4 0.14 0.11 8.92 4.83
0.0 0.44 0.14 0.13 7.73 7.25
0.0 0.49 0.14 0.15 6.82 9.67
0.0 0.4 0.14 0.16 6.1 12.09
0.0 0.23 0.14 0.18 5.52 14.5
0.0 0.14 0.14 0.2 5.04 16.92
0.0 0.25 0.14 0.22 4.63 19.34
0.0 0.41 0.14 0.23 4.29 21.75
0.0 0.52 0.14 0.25 3.99 24.17
0.0 0.51 0.14 0.27 3.74 26.59
0.0 0.55 0.14 0.28 3.51 29.01
0.0 0.57 0.14 0.3 3.31 31.42
0.0 0.58 0.14 0.32 3.13 33.84
0.0 0.56 0.14 0.34 2.97 36.26
0.0 0.54 0.14 0.35 2.82 38.67
0.0 0.57 0.14 0.37 2.69 41.09
0.0 0.55 0.14 0.39 2.57 43.5
0.0 0.56 0.14 0.41 2.46 45.92
0.0 0.58 0.14 0.42 2.36 48.34
0.0 0.6 0.14 0.44 2.27 50.75
0.0 0.62 0.14 0.46 2.18 53.17
0.0 0.64 0.14 0.48 2.1 55.59
0.7 0.69 0.14 0.49 2.03 58.0
0.8 0.7 0.14 0.51 1.96 60.42
0.8 0.66 0.14 0.53 1.9 62.83
0.0 0.63 0.14 0.54 1.84 65.25
0.0 0.58 0.14 0.56 1.78 67.66
0.0 0.58 0.14 0.58 1.73 70.08
0.0 0.6 0.14 0.6 1.68 72.5
0.0 0.6 0.14 0.61 1.63 74.91
0.0 0.66 0.14 0.63 1.59 77.33
0.0 0.65 0.14 0.65 1.54 79.74
0.4 0.67 0.14 0.67 1.5 82.16
0.6 0.67 0.14 0.68 1.47 84.57
0.7 0.67 0.14 0.7 1.43 86.99
0.8 0.67 0.14 0.72 1.39 89.4
0.8 0.67 0.14 0.73 1.36 91.82
0.0 0.65 0.14 0.75 1.33 94.23
0.0 0.53 0.14 0.77 1.3 96.65
0.0 0.36 0.14 0.79 1.27 99.06
0.0 0.24 0.14 0.8 1.24 101.48
0.0 0.32 0.14 0.82 1.22 103.89
0.0 0.51 0.14 0.84 1.19 106.31
0.4 0.67 0.14 0.86 1.17 108.72
1.0 0.7 0.14 0.87 1.15 111.14
1.0 0.68 0.14 0.89 1.12 113.55
1.0 0.7 0.14 0.91 1.1 115.97
0.3 0.71 0.14 0.92 1.08 118.38
0.0 0.42 0.16 0.08 12.9 0.0
0.0 0.46 0.16 0.09 10.55 2.49
0.0 0.46 0.16 0.11 8.92 4.97
0.0 0.5 0.16 0.13 7.73 7.46
0.0 0.54 0.16 0.15 6.82 9.94
0.0 0.43 0.16 0.16 6.1 12.43
0.0 0.24 0.16 0.18 5.52 14.91
0.0 0.14 0.16 0.2 5.04 17.4
0.0 0.26 0.16 0.22 4.63 19.88
0.0 0.44 0.16 0.23 4.29 22.37
0.0 0.56 0.16 0.25 3.99 24.85
0.0 0.57 0.16 0.27 3.74 27.34
0.0 0.6 0.16 0.28 3.51 29.82
0.0 0.61 0.16 0.3 3.31 32.31
0.0 0.63 0.16 0.32 3.13 34.79
0.0 0.62 0.16 0.34 2.97 37.28
0.0 0.6 0.16 0.35 2.82 39.76
0.0 0.62 0.16 0.37 2.69 42.25
0.0 0.59 0.16 0.39 2.57 44.73
0.0 0.6 0.16 0.41 2.46 47.22
0.0 0.62 0.16 0.42 2.36 49.7
0.0 0.64 0.16 0.44 2.27 52.19
0.5 0.67 0.16 0.46 2.18 54.67
1.0 0.7 0.16 0.48 2.1 57.15
0.7 0.74 0.16 0.49 2.03 59.64
0.8 0.75 0.16 0.51 1.96 62.12
0.9 0.71 0.16 0.53 1.9 64.61
0.9 0.68 0.16 0.54 1.84 67.09
0.0 0.62 0.16 0.56 1.78 69.57
0.0 0.61 0.16 0.58 1.73 72.06
0.0 0.64 0.16 0.6 1.68 74.54
0.0 0.64 0.16 0.61 1.63 77.03
0.9 0.71 0.16 0.63 1.59 79.51
1.0 0.71 0.16 0.65 1.54 81.99
0.5 0.72 0.16 0.67 1.5 84.48
0.7 0.71 0.16 0.68 1.47 86.96
0.8 0.72 0.16 0.7 1.43 89.44
0.9 0.72 0.16 0.72 1.39 91.93
1.0 0.72 0.16 0.73 1.36 94.41
0.9 0.69 0.16 0.75 1.33 96.89
0.0 0.56 0.16 0.77 1.3 99.38
0.0 0.38 0.16 0.79 1.27 101.86
0.0 0.25 0.16 0.8 1.24 104.34
0.0 0.33 0.16 0.82 1.22 106.83
0.0 0.54 0.16 0.84 1.19 109.31
0.5 0.7 0.16 0.86 1.17 111.79
1.0 0.75 0.16 0.87 1.15 114.27
1.0 0.73 0.16 0.89 1.12 116.76
1.0 0.74 0.16 0.91 1.1 119.24
0.4 0.75 0.16 0.92 1.08 121.72
0.0 0.47 0.18 0.08 12.9 0.0
0.0 0.51 0.18 0.09 10.55 2.55
0.0 0.51 0.18 0.11 8.92 5.1
0.0 0.56 0.18 0.13 7.73 7.65
0.0 0.58 0.18 0.15 6.82 10.2
0.0 0.46 0.18 0.16 6.1 12.75
0.0 0.26 0.18 0.18 5.52 15.3
0.0 0.15 0.18 0.2 5.04 17.85
0.0 0.27 0.18 0.22 4.63 20.4
0.0 0.47 0.18 0.23 4.29 22.95
0.0 0.61 0.18 0.25 3.99 25.5
0.0 0.62 0.18 0.27 3.74 28.05
0.0 0.64 0.18 0.28 3.51 30.6
0.0 0.65 0.18 0.3 3.31 33.15
0.8 0.67 0.18 0.32 3.13 35.7
0.9 0.67 0.18 0.34 2.97 38.25
0.0 0.66 0.18 0.35 2.82 40.8
0.7 0.66 0.18 0.37 2.69 43.35
0.0 0.63 0.18 0.39 2.57 45.9
0.0 0.63 0.18 0.41 2.46 48.44
0.0 0.66 0.18 0.42 2.36 50.99
0.5 0.68 0.18 0.44 2.27 53.54
0.7 0.71 0.18 0.46 2.18 56.09
1.0 0.74 0.18 0.48 2.1 58.64
0.7 0.78 0.18 0.49 2.03 61.19
0.8 0.79 0.18 0.51 1.96 63.74
1.0 0.75 0.18 0.53 1.9 66.29
1.0 0.72 0.18 0.54 1.84 68.84
0.0 0.65 0.18 0.56 1.78 71.38
0.0 0.64 0.18 0.58 1.73 73.93
0.3 0.67 0.18 0.6 1.68 76.48
0.8 0.68 0.18 0.61 1.63 79.03
1.0 0.75 0.18 0.63 1.59 81.58
1.0 0.75 0.18 0.65 1.54 84.13
1.0 0.76 0.18 0.67 1.5 86.67
0.7 0.75 0.18 0.68 1.47 89.22
0.9 0.75 0.18 0.7 1.43 91.77
1.0 0.75 0.18 0.72 1.39 94.32
1.0 0.76 0.18 0.73 1.36 96.87
1.0 0.72 0.18 0.75 1.33 99.41
0.0 0.58 0.18 0.77 1.3 101.96
0.0 0.39 0.18 0.79 1.27 104.51
0.0 0.25 0.18 0.8 1.24 107.06
0.0 0.34 0.18 0.82 1.22 109.6
0.0 0.56 0.18 0.84 1.19 112.15
0.7 0.73 0.18 0.86 1.17 114.7
1.0 0.79 0.18 0.87 1.15 117.25
1.0 0.77 0.18 0.89 1.12 119.79
1.0 0.77 0.18 0.91 1.1 122.34
1.0 0.78 0.18 0.92 1.08 124.89
0.0 0.51 0.2 0.08 12.9 0.0
0.0 0.55 0.2 0.09 10.55 2.61
0.0 0.56 0.2 0.11 8.92 5.22
0.0 0.61 0.2 0.13 7.73 7.84
0.0 0.62 0.2 0.15 6.82 10.45
0.0 0.48 0.2 0.16 6.1 13.06
0.0 0.27 0.2 0.18 5.52 15.67
0.0 0.16 0.2 0.2 5.04 18.28
0.0 0.29 0.2 0.22 4.63 20.89
0.0 0.49 0.2 0.23 4.29 23.5
0.0 0.64 0.2 0.25 3.99 26.12
0.7 0.66 0.2 0.27 3.74 28.73
0.6 0.67 0.2 0.28 3.51 31.34
0.7 0.69 0.2 0.3 3.31 33.95
0.9 0.71 0.2 0.32 3.13 36.56
1.0 0.71 0.2 0.34 2.97 39.17
1.0 0.7 0.2 0.35 2.82 41.78
0.9 0.69 0.2 0.37 2.69 44.39
0.8 0.66 0.2 0.39 2.57 47.0
0.0 0.66 0.2 0.41 2.46 49.61
0.3 0.68 0.2 0.42 2.36 52.22
0.5 0.71 0.2 0.44 2.27 54.84
0.8 0.74 0.2 0.46 2.18 57.45
1.0 0.78 0.2 0.48 2.1 60.06
0.8 0.82 0.2 0.49 2.03 62.67
0.9 0.82 0.2 0.51 1.96 65.28
1.0 0.79 0.2 0.53 1.9 67.89
1.0 0.75 0.2 0.54 1.84 70.5
1.0 0.68 0.2 0.56 1.78 73.11
0.3 0.67 0.2 0.58 1.73 75.72
0.5 0.69 0.2 0.6 1.68 78.33
0.8 0.72 0.2 0.61 1.63 80.94
1.0 0.78 0.2 0.63 1.59 83.55
1.0 0.79 0.2 0.65 1.54 86.16
1.0 0.79 0.2 0.67 1.5 88.77
1.0 0.78 0.2 0.68 1.47 91.38
1.0 0.78 0.2 0.7 1.43 93.98
1.0 0.78 0.2 0.72 1.39 96.59
1.0 0.79 0.2 0.73 1.36 99.2
1.0 0.74 0.2 0.75 1.33 101.81
0.0 0.6 0.2 0.77 1.3 104.42
0.0 0.4 0.2 0.79 1.27 107.03
0.0 0.26 0.2 0.8 1.24 109.64
0.0 0.35 0.2 0.82 1.22 112.25
0.0 0.57 0.2 0.84 1.19 114.86
0.9 0.75 0.2 0.86 1.17 117.47
1.0 0.82 0.2 0.87 1.15 120.08
1.0 0.8 0.2 0.89 1.12 122.68
1.0 0.8 0.2 0.91 1.1 125.29
1.0 0.8 0.2 0.92 1.08 127.9
0.0 0.55 0.22 0.08 12.9 0.0
0.0 0.59 0.22 0.09 10.55 2.67
0.0 0.6 0.22 0.11 8.92 5.34
0.0 0.65 0.22 0.13 7.73 8.01
0.0 0.65 0.22 0.15 6.82 10.68
0.0 0.5 0.22 0.16 6.1 13.35
0.0 0.28 0.22 0.18 5.52 16.02
0.0 0.16 0.22 0.2 5.04 18.69
0.0 0.3 0.22 0.22 4.63 21.36
0.0 0.51 0.22 0.23 4.29 24.03
0.7 0.67 0.22 0.25 3.99 26.7
0.8 0.7 0.22 0.27 3.74 29.37
0.7 0.7 0.22 0.28 3.51 32.04
0.8 0.71 0.22 0.3 3.31 34.71
0.9 0.74 0.22 0.32 3.13 37.38
1.0 0.74 0.22 0.34 2.97 40.05
1.0 0.74 0.22 0.35 2.82 42.72
1.0 0.73 0.22 0.37 2.69 45.39
1.0 0.69 0.22 0.39 2.57 48.06
1.0 0.68 0.22 0.41 2.46 50.73
0.4 0.71 0.22 0.42 2.36 53.4
0.6 0.73 0.22 0.44 2.27 56.07
1.0 0.77 0.22 0.46 2.18 58.74
1.0 0.8 0.22 0.48 2.1 61.41
1.0 0.84 0.22 0.49 2.03 64.08
0.9 0.85 0.22 0.51 1.96 66.75
1.0 0.82 0.22 0.53 1.9 69.41
1.0 0.77 0.22 0.54 1.84 72.08
1.0 0.7 0.22 0.56 1.78 74.75
1.0 0.69 0.22 0.58 1.73 77.42
0.6 0.71 0.22 0.6 1.68 80.09
